disperser,population,treatment.recode,treatment,dispersal,seed,germ,weight
P__lilfordi,Cabrera,control,control,0,A1,0,0.042
P__lilfordi,Cabrera,control,control,0,A2,0,0.222
P__lilfordi,Cabrera,control,control,0,A3,0,0.022
P__lilfordi,Cabrera,control,control,0,A4,0,0.0289
P__lilfordi,Cabrera,control,control,0,A5,0,0.0277
P__lilfordi,Cabrera,control,control,0,A6,1,0.0261
P__lilfordi,Cabrera,control,control,0,A7,0,0.0362
P__lilfordi,Cabrera,control,control,0,A8,1,0.0265
P__lilfordi,Cabrera,control,control,0,A9,0,0.0323
P__lilfordi,Cabrera,control,control,0,A10,1,0.0301
P__lilfordi,Cabrera,control,control,0,B1,1,0.0402
P__lilfordi,Cabrera,control,control,0,B2,0,0.0257
P__lilfordi,Cabrera,control,control,0,B3,0,0.0337
P__lilfordi,Cabrera,control,control,0,B4,1,0.042
P__lilfordi,Cabrera,control,control,0,B5,0,0.0321
P__lilfordi,Cabrera,control,control,0,B6,0,0.0582
P__lilfordi,Cabrera,control,control,0,B7,0,0.061
P__lilfordi,Cabrera,control,control,0,B8,0,0.0729
P__lilfordi,Cabrera,control,control,0,B9,0,0.0518
P__lilfordi,Cabrera,control,control,0,B10,0,0.0708
P__lilfordi,Cabrera,control,control,0,C1,0,0.0212
P__lilfordi,Cabrera,control,control,0,C2,0,0.0189
P__lilfordi,Cabrera,control,control,0,C3,0,0.0265
P__lilfordi,Cabrera,control,control,0,C4,0,0.0294
P__lilfordi,Cabrera,control,control,0,C5,0,0.0155
P__lilfordi,Cabrera,control,control,0,C6,0,0.0184
P__lilfordi,Cabrera,control,control,0,C7,0,0.0306
P__lilfordi,Cabrera,control,control,0,C8,0,0.0418
P__lilfordi,Cabrera,control,control,0,C9,1,0.0289
P__lilfordi,Cabrera,control,control,0,C10,0,0.0407
P__lilfordi,Cabrera,control,control,0,D1,1,0.0334
P__lilfordi,Cabrera,control,control,0,D2,0,0.0282
P__lilfordi,Cabrera,control,control,0,D3,1,0.0335
P__lilfordi,Cabrera,control,control,0,D4,0,0.0304
P__lilfordi,Cabrera,control,control,0,D5,1,0.0364
P__lilfordi,Cabrera,control,control,0,D6,0,0.0208
P__lilfordi,Cabrera,control,control,0,D7,0,0.0207
P__lilfordi,Cabrera,control,control,0,D8,0,0.0297
P__lilfordi,Cabrera,control,control,0,D9,0,0.0288
P__lilfordi,Cabrera,control,control,0,D10,0,0.0184
P__lilfordi,Cabrera,control,control,0,E1,0,0.0371
P__lilfordi,Cabrera,control,control,0,E2,1,0.0362
P__lilfordi,Cabrera,control,control,0,E3,1,0.035
P__lilfordi,Cabrera,control,control,0,E4,1,0.0331
P__lilfordi,Cabrera,control,control,0,E5,0,0.027
P__lilfordi,Cabrera,control,control,0,E6,0,0.032
P__lilfordi,Cabrera,control,control,0,E7,0,0.0354
P__lilfordi,Cabrera,control,control,0,E8,0,0.0319
P__lilfordi,Cabrera,control,control,0,E9,0,0.024
P__lilfordi,Cabrera,P__lilfordi,dispersed,1,1,1,0.0763
P__lilfordi,Cabrera,P__lilfordi,dispersed,1,2,0,0.0569
P__lilfordi,Cabrera,P__lilfordi,dispersed,1,3,0,0.0604
P__lilfordi,Cabrera,P__lilfordi,dispersed,1,4,1,0.0681
P__lilfordi,Cabrera,P__lilfordi,dispersed,1,5,1,0.0353
P__lilfordi,Cabrera,P__lilfordi,dispersed,1,6,0,0.0524
P__lilfordi,Cabrera,P__lilfordi,dispersed,1,7,1,0.0428
P__lilfordi,Cabrera,P__lilfordi,dispersed,1,8,0,0.0446
P__lilfordi,Cabrera,P__lilfordi,dispersed,1,9,0,0.0632
P__lilfordi,Cabrera,P__lilfordi,dispersed,1,10,0,0.0602
P__lilfordi,Cabrera,P__lilfordi,dispersed,1,11,0,0.0535
P__lilfordi,Cabrera,P__lilfordi,dispersed,1,12,0,0.0381
P__lilfordi,Cabrera,P__lilfordi,dispersed,1,13,0,0.0554
P__lilfordi,Cabrera,P__lilfordi,dispersed,1,14,0,0.058
P__lilfordi,Cabrera,P__lilfordi,dispersed,1,15,0,0.0549
P__lilfordi,Cabrera,P__lilfordi,dispersed,1,16,1,0.0516
P__lilfordi,Cabrera,P__lilfordi,dispersed,1,17,0,0.0653
P__lilfordi,Cabrera,P__lilfordi,dispersed,1,18,0,0.0441
P__lilfordi,Cabrera,P__lilfordi,dispersed,1,19,0,0.0476
P__lilfordi,Cabrera,P__lilfordi,dispersed,1,20,1,0.0384
P__lilfordi,Cabrera,P__lilfordi,dispersed,1,21,1,0.0536
P__lilfordi,Cabrera,P__lilfordi,dispersed,1,22,0,0.0432
P__lilfordi,Cabrera,P__lilfordi,dispersed,1,23,0,0.0579
P__lilfordi,Cabrera,P__lilfordi,dispersed,1,24,1,0.065
P__lilfordi,Cabrera,P__lilfordi,dispersed,1,25,0,0.0742
P__lilfordi,Cabrera,P__lilfordi,dispersed,1,26,0,0.0765
P__lilfordi,Cabrera,P__lilfordi,dispersed,1,27,0,0.031
P__lilfordi,Cabrera,P__lilfordi,dispersed,1,28,0,0.0465
P__lilfordi,Cabrera,P__lilfordi,dispersed,1,29,0,0.0324
P__lilfordi,Cabrera,P__lilfordi,dispersed,1,30,0,0.07
P__lilfordi,Cabrera,P__lilfordi,dispersed,1,31,0,0.0581
P__lilfordi,Cabrera,P__lilfordi,dispersed,1,32,1,0.0468
P__lilfordi,Cabrera,P__lilfordi,dispersed,1,33,0,0.0551
P__lilfordi,Cabrera,P__lilfordi,dispersed,1,34,1,0.0785
P__lilfordi,Cabrera,P__lilfordi,dispersed,1,35,0,0.0463
P__lilfordi,Cabrera,P__lilfordi,dispersed,1,36,1,0.0703
P__lilfordi,Cabrera,P__lilfordi,dispersed,1,37,1,0.0794
P__lilfordi,Cabrera,P__lilfordi,dispersed,1,38,0,0.0433
P__lilfordi,Cabrera,P__lilfordi,dispersed,1,39,0,0.0714
P__lilfordi,Cabrera,P__lilfordi,dispersed,1,40,0,0.0621
P__lilfordi,Cabrera,P__lilfordi,dispersed,1,41,1,0.0695
P__lilfordi,Cabrera,P__lilfordi,dispersed,1,42,1,0.06
P__lilfordi,Cabrera,P__lilfordi,dispersed,1,43,1,0.0495
P__lilfordi,Cabrera,P__lilfordi,dispersed,1,44,0,0.0477
P__lilfordi,Cabrera,P__lilfordi,dispersed,1,45,1,0.0853
