year,site_id,GDD.yr,elevation,plot,plant_id,initial,firstdate,lastdate,max.trait,survival,gdd.to.emerge,gdd.emerge.to.fl,gdd.to.fl,gdd.dur.fl,gdd.fl.to.mat,gdd.to.mat,h.1fl,ln.1fl,rep.1fl,size.1fl,tot.seeds,tbo.b4.fl,tbo.b4.last.fl,date.last.fl.obs,budseaten,fleaten,freaten
2014,T1-H,959.4140321,2206,1,2014-T1-H-1-1,1,10.06.2014,07.08.2014,nonreprod,0,247.7044592,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,N,NA,NA,0,0,0
2014,T1-H,959.4140321,2206,1,2014-T1-H-1-1b,0,30.07.2014,30.08.2014,fruit,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,N,NA,NA,0,1,1
2014,T1-H,959.4140321,2206,1,2014-T1-H-1-2,1,10.06.2014,14.07.2014,nonreprod,0,287.6947301,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,N,NA,NA,0,0,0
2014,T1-H,959.4140321,2206,1,2014-T1-H-1-2b,0,14.07.2014,10.08.2014,bud,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,N,NA,NA,0,0,0
2014,T1-H,959.4140321,2206,1,2014-T1-H-1-2c,0,07.08.2014,19.09.2014,set,1,NA,NA,NA,NA,NA,821.7285426,NA,NA,NA,NA,9,N,NA,NA,0,0,0
2014,T1-H,959.4140321,2206,1,2014-T1-H-1-3,1,10.06.2014,06.07.2014,nonreprod,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,N,NA,NA,0,0,0
2014,T1-H,959.4140321,2206,1,2014-T1-H-1-3b,0,06.07.2014,15.09.2014,fruit,0,NA,NA,615.737553,127.3395313,NA,NA,87.5,11,2.5,0.215905729,0,N,0,230,0,0,0
2014,T1-H,959.4140321,2206,1,2014-T1-H-1-4,1,10.06.2014,18.07.2014,nonreprod,0,247.7044592,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,N,NA,NA,0,0,0
2014,T1-H,959.4140321,2206,1,2014-T1-H-1-4b,0,10.07.2014,26.08.2014,fruit,0,NA,NA,493.5034176,139.7836354,NA,NA,99,11.5,5.5,0.748140236,0,N,0,218,0,1,1
2014,T1-H,959.4140321,2206,1,2014-T1-H-1-5,1,10.06.2014,18.07.2014,nonreprod,0,247.7044592,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,N,NA,NA,0,0,0
