Ind_ID,Flower_ID,Stamen_number_func,Stamen_removal,Petal_length,Stalk_height,Flowering_date,Pistil_number,Total_typed_seed,Total_selfed_seed,Mature_seed_number,Relative_RS,Inbreeding_depression,Mature_seed_number_S,Relative_RS_S
106,106_1,0,SR100,3.15,42,155,241,8,0,61,0.682835846,0,61,0.484197308
107,107_1,146,Intact,2.86,40,155,164,12,12,89,0.996268694,0,178,1.41290362
108,108_1,0,SR100,2.53,48,155,255,7,0,48,0.537313453,0,48,0.381007718
109,109_1,134,Intact,3.06,48,155,309,14,9,220,2.462686659,0,361.4285715,2.868897399
113,113_1,204,Intact,2.8,34,163,76,5,0,32,0.358208969,0,32,0.254005145
114,114_1,83,SR50,3.14,36,161,277,12,0,163,1.824626934,0,163,1.293838708
117,117_1,115,Intact,2.83,20,155,171,12,6,113,1.26492542,0,169.5,1.345433503
119,119_1,98,SR50,3.1,41,153,175,12,10,92,1.029850785,0,168.6666666,1.338818786
122,122_1,180,Intact,3.12,27,148,5,3,3,5,0.055970151,0,10,0.079376608
126,126_1,0,SR100,3.2,45,163,242,10,0,127,1.421641844,0,127,1.00808292
127,127_1,166,Intact,2.91,33,148,223,12,4,75,0.83955227,0,99.99999998,0.793766079
130,130_1,163,Intact,2.75,40,155,248,11,8,94,1.052238845,0,162.3636363,1.288787469
131,131_1,144,Intact,2.71,33,153,200,8,8,42,0.470149271,0,84,0.666763506
134,134_1,199,Intact,2.55,25,150,131,12,10,81,0.906716452,0,148.5,1.178742627
135,135_1,103,Intact,2.64,29,148,179,15,12,51,0.570895544,0,91.8,0.72867726
138,138_1,269,Intact,2.75,38,148,190,11,9,57,0.638059725,0,103.6363636,0.8226303
139,139_1,80,SR50,2.87,21,148,18,3,3,8,0.089552242,0,16,0.127002573
140,140_1,144,Intact,2.77,35,153,241,14,14,62,0.694029877,0,124,0.984269938
146,146_1,197,Intact,3.03,44,148,224,14,13,78,0.873134361,0,150.4285715,1.194050973
152,152_1,0,SR100,3.1,42,153,225,4,0,76,0.8507463,0,76,0.60326222
156,156_1,88,SR50,2.73,27,153,2,1,0,1,0.01119403,0,1,0.007937661
162,162_1,214,Intact,2.93,29,161,5,2,0,5,0.055970151,0,5,0.039688304
165,165_1,178,Intact,2.56,45,161,206,8,1,36,0.40298509,0,40.5,0.321475262
166,166_1,214,Intact,3,46,161,311,13,0,152,1.701492601,0,152,1.20652444
169,169_1,78,SR50,2.93,27,155,71,7,7,31,0.347014938,0,62,0.492134969
170,170_1,178,Intact,3.33,46,161,284,14,13,114,1.276119451,0,219.8571429,1.745151422
171,171_1,209,Intact,3.06,38,153,268,13,11,114,1.276119451,0,210.4615384,1.670572301
174,174_1,166,Intact,2.7,39,163,315,10,1,122,1.365671693,0,134.2,1.065234078
177,177_1,166,Intact,2.91,37,161,227,13,6,71,0.794776149,0,103.7692308,0.823684954
184,184_1,224,Intact,2.47,52,165,367,12,1,180,2.014925448,0,194.9999999,1.547843853
185,185_1,183,Intact,2.75,25,165,11,5,1,10,0.111940303,0,12,0.095251929
186,186_1,0,SR100,2.98,35,161,183,10,0,124,1.388059753,0,124,0.984269938
188,188_1,183,Intact,3,39,163,287,12,5,55,0.615671665,0,77.91666669,0.61847607
189,189_1,154,Intact,2.8,37,163,144,8,7,28,0.313432848,0,52.5,0.416727191
190,190_1,199,Intact,2.9,27,168,343,13,1,80,0.895522421,0,86.15384616,0.683860006
192,192_1,68,SR50,2.19,40,168,295,13,1,74,0.82835824,0,79.6923077,0.632570506
193,193_1,173,Intact,2.38,31,168,235,14,11,189,2.115671721,0,337.5000001,2.678960516
195,195_1,170,Intact,2.7,37,168,281,13,10,144,1.611940359,0,254.7692307,2.022271733
196,196_1,192,Intact,2.02,35,168,395,14,0,213,2.384328447,0,213,1.690721748
