population,ind.,TW,TL,SL,PL,HT,FL,seeds
Rhini,RH002,11.4,49.2,49,17.8,40,25,67
Rhini,RH003,10.2,80.1,44.6,126.5,42,33,23
Rhini,RH004,6,62.5,47.2,112,40,21,100
Rhini,RH005,8.3,49.3,40.3,88.5,36,27,217
Rhini,RH006,10.2,80.1,44.6,126.5,42,33,59
Rhini,RH007,10.3,55.1,44.1,116.2,39,31,117
Rhini,RH009,8.1,58.6,38.1,118.5,28,23,58
Rhini,RH010,8.4,49.8,41.8,95.7,32,31,104
Rhini,RH011,8.9,57.5,47.6,104.4,37,29,110
Rhini,RH012,8.5,55,39.7,124,27,24,31
Rhini,RH013,6.4,62.6,46.7,147.1,35,26,67
Rhini,RH015,8.4,57.2,38.1,115.9,35,17,133
Rhini,RH016,7.7,61.4,37.4,117.9,25,23,219
Rhini,RH017,9.9,49.8,38.9,94.9,34,25,23
Rhini,RH019,10.5,54.4,39.2,124.7,35,24,173
Rhini,RH020,8.3,48.4,31.2,99.3,32,28,207
Rhini,RH021,8.1,47.8,39,105.2,37,19,223
Rhini,RH022,8.4,55.5,34.6,106.4,34,24,187
Rhini,RH023,6.5,55.5,36.5,101.2,25,36,235
Rhini,RH024,5.8,43.6,39.5,96.5,30,34,92
Rhini,RH025,7.9,54.6,36,105.5,29,26,164
Rhini,RH026,9.3,57.7,43,141.7,36,27,177
Rhini,RH027,11.2,52,41.1,95.7,26,23,88
Rhini,RH028,5.7,48.4,50.2,93.5,28,19,142
Rhini,RH030,9.1,54.5,35.8,97.3,40,28,54
Rhini,RH031,9,47.1,35.5,126.5,36,31,87
Rhini,RH032,9.5,61.9,46.1,100,30,18,36
Rhini,RH033,8.7,44.1,41.4,76.5,28,11,118
Rhini,RH034,11.1,65.8,42.7,116.8,40,26,279
Rhini,RH035,6.9,53.3,34.6,103.9,27,23,18
Rhini,RH036,9.8,61.4,40,115.7,42,23,57
Rhini,RH037,11.9,68.5,52,117,29,26,233
Rhini,RH040,8.8,62.3,40.6,142.9,38,21,108
Rhini,RH041,7.9,67.9,54.1,130.2,38,19,213
Rhini,RH042,10,44.4,46.9,140,33,26,104
Rhini,RH043,9.5,54.8,42.8,104.1,30,23,63
Rhini,RH044,10.5,62,58,116.3,37,25,70
Rhini,RH045,8.2,56.1,48.9,133.5,44,28,42
Rhini,RH046,8.5,54.9,36.3,124.4,30,24,48
Rhini,RH048,9.4,50.9,44.3,108.4,35,33,121
Rhini,RH049,9.7,57.5,41.7,128.8,37,24,42
Rhini,RH050,11,53.2,52.8,119,35,17,34
Rhini,RH051,8.9,53.1,50.1,130,38,25,116
Rhini,RH052,6.6,53.2,45.3,73.4,27,18,31
Rhini,RH053,6.1,54.4,51.9,102.3,34,25,216
Rhini,RH055,9.5,52.7,40.1,94.2,29,26,100
Rhini,RH056,8.9,54.4,44.3,91,27,24,37
Rhini,RH057,7.6,56.8,48.6,96.4,35,33,228
Rhini,RH058,7.2,50,50.6,71.6,31,24,150
Rhini,RH060,5.9,47.1,39.2,98.5,32,18,78
Rhini,RH063,8.4,44.1,45.1,61.7,29,26,192
Rhini,RH064,7.6,55.8,36.3,119.8,35,17,116
Rhini,RH065,9.7,56.6,37,127.7,31,25,198
Rhini,RH066,9.1,53.3,45.3,124.6,36,24,128
Rhini,RH067,11.9,62.9,52.5,133.4,29,27,92
Rhini,RH068,10.2,57.5,43.2,116.7,35,29,195
Rhini,RH069,11.5,59.8,46.9,1137.9,40,28,299
Rhini,RH070,8.1,48.8,36.7,88.8,27,25,64
Rhini,RH071,10.2,56.6,42.6,100.4,36,30,83
Rhini,RH072,9.1,53.7,48.5,103.6,30,23,78
Rhini,RH073,7.7,44.2,46.1,76.7,25,19,103
Rhini,RH075,9.9,58.5,49.8,103.7,33,27,33
Rhini,RH076,7.3,52,48.3,87.5,29,31,132
Rhini,RH079,9.4,60.1,42.3,98.4,30,24,7
Rhini,RH080,10.8,61.2,48,127.6,38,29,136
Rhini,RH084,10.1,57.5,42.2,89.2,29,17,109
Rhini,RH085,7.3,56.4,48.2,125.2,35,16,89
Rhini,RH093,9.1,49.5,51.2,84.8,28,14,54
Rhini,RH094,8,53.3,37.1,118.4,28,22,91
Rhini,RH095,9.8,61.3,41.4,120.2,35,26,5
Rhini,RH096,9.7,58.1,47.8,101.4,28,27,63
Rhini,RH097,7.3,48.1,34.4,83.3,22,23,53
Rhini,RH098,10.9,59.5,40.8,157.2,41,31,45
Rhini,RH103,8.2,54.7,55.1,121.8,33,27,96
Rhini,RH107,10.4,47.8,40.1,108.1,31,40,342
Rhini,RH109,9.2,52,48.6,126.1,38,22,252
Rhini,RH110,9.5,51,50.2,65.9,33,33,278
Rhini,RH112,10.2,54.1,47.5,72.9,29,28,256
Rhini,RH113,6.9,50.3,38.8,59.6,32,45,99
Rhini,RH114,8.2,55.6,43.6,78.1,30,34,22
