population,ind.,TW,TL,SL,PL,HT,FL,seeds
Paterson turnoff,PT001,7,33,23.5,103.1,32,46,3
Paterson turnoff,PT002,6.7,34,17.4,134.9,38,50,48
Paterson turnoff,PT003,7.4,32.5,23.8,82.4,24,20,
Paterson turnoff,PT004,5,30.9,21,144.3,31,49,
Paterson turnoff,PT005,5,34,27.4,134.3,26,45,
Paterson turnoff,PT006,5.5,38.6,27.1,170,51,60,27
Paterson turnoff,PT007,7.9,37.5,26.1,119.6,39,36,
Paterson turnoff,PT008,7,35.8,26.2,92.2,30,51,35
Paterson turnoff,PT009,7.8,40.8,22.8,152.2,37,43,
Paterson turnoff,PT010,6.2,33.4,20.1,128.2,35,46,109
Paterson turnoff,PT011,6.6,31.1,28.9,189.3,32,76,389
Paterson turnoff,PT012,9.7,37,21.8,123.5,32,33,106
Paterson turnoff,PT013,6.7,32,21.3,136.1,31,64,189
Paterson turnoff,PT014,6.9,37.7,31,122.2,42,53,59
Paterson turnoff,PT015,6.8,38.7,23.6,156.7,44,47,132
Paterson turnoff,PT016,7.5,26.6,25.5,42.1,38,51,79
Paterson turnoff,PT017,5.9,38.3,29.8,105.7,28,48,
Paterson turnoff,PT018,8.2,39.4,23,141.9,38,50,105
Paterson turnoff,PT019,6.5,36.1,30.8,150.3,43,70,273
Paterson turnoff,PT020,6.1,40.6,23,168.9,45,70,451
Paterson turnoff,PT021,7,35.3,18.5,157.1,31,51,289
Paterson turnoff,PT022,8.9,35.9,28.4,135.5,33,60,361
Paterson turnoff,PT023,5.8,36.3,19.3,143.1,35,71,188
Paterson turnoff,PT024,6.2,40.1,27.1,115.4,30,40,83
Paterson turnoff,PT025,7.4,42.7,25.4,123.6,37,39,123
Amakhala,AM001,5.3,28,19.4,83.1,29,37,169
Amakhala,AM002,4,32,20.5,92.9,22,19,
Amakhala,AM003,3.7,40.7,25.2,89.6,26,36,
Amakhala,AM004,7.2,31.7,15.4,127.9,33,43,
Amakhala,AM005,5.8,29.2,19,123.4,32,44,
Amakhala,AM006,6.1,34.1,22.3,5.7,33,55,34
Amakhala,AM007,5.5,29.8,26.2,116.7,28,77,
Amakhala,AM008,6.2,32.7,19.4,141,38,48,
Amakhala,AM009,6.5,37.4,26.8,106.8,24,30,
Amakhala,AM010,4.6,42.7,29.4,156.2,32,42,
Amakhala,AM011,6.9,36.3,29.5,113.3,32,38,
Amakhala,AM012,5.8,33.4,24.4,105.5,29,43,290
Amakhala,AM013,5.5,41.5,17.3,96.4,27,16,28
Amakhala,AM014,4.2,34.5,23.3,88.2,20,32,51
Amakhala,AM015,6.6,48.6,28.7,130.2,33,32,
Amakhala,AM016,5.4,35.2,20.9,105.8,25,29,
Amakhala,AM017,3.7,36.1,22.7,127.6,24,40,151
Amakhala,AM018,5.7,37.4,24.8,117.7,23,38,
Amakhala,AM019,6.2,27.1,21.4,90.3,26,20,111
Amakhala,AM020,4.6,36.9,24.9,72.9,27,36,115
Amakhala,AM021,5.1,28.5,25.8,81.6,27,31,74
Amakhala,AM022,6.6,40.9,23.4,136.6,25,25,3
Amakhala,AM023,5.4,35.3,20.2,103,27,22,25
Amakhala,AM024,6.3,35.3,17.2,136.9,34,32,0
Amakhala,AM025,4.7,37.5,21.8,109.9,28,39,
Amakhala,AM026,3.8,34.2,21.6,102.5,28,23,
Amakhala,AM027,5.1,38.9,18.7,103.7,28,41,218
Amakhala,AM028,6.1,36.2,20.3,109,36,27,316
Amakhala,AM029,5.8,38.6,23.4,110.6,28,28,
Amakhala,AM030,5.1,33,24,82.4,20,11,3
Amakhala,AM031,6.5,34.6,18.5,83.4,27,25,146
Amakhala,AM032,4.7,36.3,22.7,118.1,38,21,45
Amakhala,AM033,6.3,39.6,22.4,99.4,29,39,
Amakhala,AM034,5.3,43.5,28.4,98.2,30,29,10
Amakhala,AM035,7.3,35.7,22.3,149.8,37,25,128
Amakhala,AM036,6.3,41.1,22.4,112.7,27,25,151
Amakhala,AM037,6.2,39.5,22.2,128,38,24,179
Amakhala,AM038,3.9,32.1,24.1,141.8,33,28,76
Amakhala,AM039,6.1,33.9,15.5,125.1,28,34,27
Amakhala,AM040,5.2,38.5,17.6,118.8,24,16,63
Amakhala,AM041,5.4,34.6,19.4,109.4,26,29,77
Amakhala,AM042,4.9,35.3,19.1,102.7,22,22,257
Amakhala,AM043,5.1,36.7,25.6,87.7,23,17,44
Amakhala,AM044,7.4,40.7,26.4,108,32,38,
Amakhala,AM045,3.6,32.2,23.1,100.5,27,45,209
Amakhala,AM046,4.3,35.9,25.9,99.7,22,21,
Amakhala,AM047,4.3,37,24.4,117.9,20,31,207
Amakhala,AM048,5.4,35.6,18.8,114.9,29,36,105
Amakhala,AM049,6.3,26.3,24.5,103.8,23,26,49
Amakhala,AM050,6.3,34.2,24.5,99.9,23,27,
