"","id","study","group","fitness","trait","optimum","sd","optimumtest","samplesize","linear","linear.se","linear.95CI.l","linear.95CI.u","linear.effsamp","linear.pMCMC","quadratic","quadratic.se","quadratic.95CI.l","quadratic.95CI.u","quadratic.effsamp","quadratic.pMCMC"
"1",10,"Blanco-Sánchez et al. (2022)","1","total seed number","mean_leafarea",-0.116823410223827,101.615197489589,0.852,113,-0.0896194127864641,0.179297500635287,-0.444731354160467,0.258486596552757,722.761181205609,0.626,-0.084167328252255,0.104421520612659,-0.280412016407354,0.130793968914077,635.381410599653,0.394
"2",10,"Blanco-Sánchez et al. (2022)","1","total seed number","mean_leafthickness",-0.784284801125348,41.2391565371945,0.777,113,0.276386981462826,0.308100598554827,-0.349071633463609,0.840274658097769,240.984019518512,0.382,0.107669810515862,0.127210680850367,-0.152423334657215,0.360620348381417,1000,0.382
"3",10,"Blanco-Sánchez et al. (2022)","1","total seed number","sla",0.16625079065579,154.697733825297,0.709,113,0.137094494669735,0.323848152321156,-0.487930912873708,0.785222691891249,1000,0.636,-0.0155006645667052,0.114713625563115,-0.227335287374444,0.207294895575615,1000,0.874
"4",10,"Blanco-Sánchez et al. (2022)","1","total seed number","ldmc",0.687342851885973,45.2554200563969,0.615,113,-0.44045384377292,0.334785432960122,-1.03591963462532,0.251334115195277,239.183065540993,0.204,0.0111769733166696,0.146724568858744,-0.255868705644389,0.299904307008546,830.524837193794,0.906
"5",10,"Blanco-Sánchez et al. (2022)","1","total seed number","fl_onset",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",10,"Blanco-Sánchez et al. (2022)","1","total seed number","fl_duration",0.639092733343875,75.2082377899121,0.964,113,-0.308625590824689,0.177737771307118,-0.63456960964686,0.0699041726038558,999.999999999999,0.096,0.233011676839998,0.114397068207648,0.0175734367221594,0.458668244762521,611.682919146729,0.04
"7",10,"Blanco-Sánchez et al. (2022)","1","total seed number","fl_peak",0.845225734734886,9.4581614963967,0.924,113,-0.263910444641757,0.443205747276528,-1.09067899828369,0.57932203807286,1000,0.57,0.0909010560304442,0.277419501926831,-0.454708521770954,0.606839059320919,1000,0.76
"8",10,"Blanco-Sánchez et al. (2022)","1","total seed number","fr_onset",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9",10,"Blanco-Sánchez et al. (2022)","1","total seed number","fr_duration",0.474660905947253,101.311225418916,0.739,113,0.28152244860815,0.298986156675076,-0.300980231842914,0.865747133851983,999.999999999999,0.338,-0.130128092232515,0.13799878834464,-0.400614978600061,0.130955917033134,906.283306536393,0.332
"10",10,"Blanco-Sánchez et al. (2022)","1","total seed number","fr_peak",0.250993992083888,11.8119103447152,0.919,113,0.112879564659929,0.161781240367585,-0.187136535350874,0.433262730250135,999.999999999999,0.508,-0.0928188288941483,0.201251062335683,-0.465673771861475,0.304650794103509,347.367956679436,0.636
"11",10,"Blanco-Sánchez et al. (2022)","1","total seed number","disp_onset",-0.0341681883789245,29.7411502559043,0.9,113,-0.0133945708659993,0.14902604205124,-0.282771374724689,0.311235969005793,1000,0.912,-0.0889657670958811,0.0911194734674548,-0.256676519522443,0.0954017069307156,825.710264059546,0.328
"12",10,"Blanco-Sánchez et al. (2022)","1","total seed number","disp_peak",-2.90969656634623,911.503520951594,0.492,113,-0.366954351539282,0.450464167302354,-1.29530028020963,0.462473472237534,1000,0.386,-0.0519423686618356,0.0839372763833637,-0.214830720404279,0.113382705661934,1000,0.528
"13",10,"Blanco-Sánchez et al. (2022)","1","total seed number","mean_senescence",-0.494020980175677,38.8685272502018,0.761,113,-0.178437695615323,0.211649371787981,-0.590766341025301,0.248162461204629,248.577372674158,0.386,-0.0898680920074221,0.0846604057165306,-0.245563684453373,0.0834598043584265,703.827751641741,0.276
"14",10,"Blanco-Sánchez et al. (2022)","1","total seed number","fvfm",-1.20119085389007,9.03629195570257,0.883,113,0.292334345697626,0.315874775370753,-0.371711857398623,0.873598402904463,473.419041479976,0.354,0.117201969988392,0.103521852028967,-0.0948283035704662,0.316970655461773,1144.50475578476,0.24
"15",10,"Blanco-Sánchez et al. (2022)","1","total seed number","C",-0.202176899915397,14.1499694717548,0.779,113,0.0888329644805124,0.207737458342226,-0.321721859239915,0.519878714130755,390.458474615968,0.654,0.0124067756534631,0.107406624797793,-0.191271695803152,0.227120770854526,880.403004103736,0.866
"16",10,"Blanco-Sánchez et al. (2022)","1","total seed number","N",-1.70501510835446,83.7792437938072,0.668,113,-0.471707136214042,0.164234809250445,-0.806188274094893,-0.174522694054758,873.707828338334,0.002,-0.10729678944521,0.0938101297536124,-0.300390500837239,0.0705807142658159,861.726201009932,0.266
"17",10,"Blanco-Sánchez et al. (2022)","1","total seed number","d13C",0.427916644304564,8.9906917380471,0.918,113,-0.141843193326927,0.187328265439473,-0.49370238056872,0.24126379439258,703.203642781509,0.43,0.1468666850663,0.115048668272736,-0.0719282796344487,0.355655887076864,789.038554017004,0.214
"18",10,"Blanco-Sánchez et al. (2022)","1","total seed number","d15N",0.92023831370839,66.6274731146826,0.666,113,0.25644486416038,0.207067134822994,-0.15323729933948,0.643496206379496,369.307089535072,0.214,-0.0328758141273727,0.0934192700987577,-0.196034261109617,0.168506269335921,1000,0.696
"19",10,"Blanco-Sánchez et al. (2022)","1","total seed mass","mean_leafarea",0.227496634581037,5.75283195997818,0.952,108,0.0556001561291639,0.132074399845083,-0.196232376532862,0.312494995843736,999.999999999999,0.648,-0.120911031291401,0.0757297577746288,-0.26047385163838,0.017942569378647,1000,0.106
"20",10,"Blanco-Sánchez et al. (2022)","1","total seed mass","mean_leafthickness",-1.47204400832279,10.4999416676255,0.795,108,0.439415874177119,0.187424715998827,0.0400073667769902,0.768637776614923,1000,0.014,0.142808443717176,0.0910553766070192,-0.0254064611435751,0.332206925879291,1119.88621899637,0.0980000000000001
"21",10,"Blanco-Sánchez et al. (2022)","1","total seed mass","sla",0.464295806997277,37.5960092262986,0.674,108,0.180174275771011,0.209464710973287,-0.2206209031865,0.590014203553437,1000,0.39,-0.0205065088319075,0.0837051266753669,-0.189311578375055,0.136230505384447,1000,0.806
"22",10,"Blanco-Sánchez et al. (2022)","1","total seed mass","ldmc",0.286458307111497,21.4389447074824,0.789,108,-0.0756892928245072,0.20816213949722,-0.517690593082079,0.280654176342068,999.999999999999,0.722,-0.00263435166760634,0.0975264901352404,-0.208850191222155,0.179820206976729,1000,0.97
"23",10,"Blanco-Sánchez et al. (2022)","1","total seed mass","fl_onset",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24",10,"Blanco-Sánchez et al. (2022)","1","total seed mass","fl_duration",0.185877538930178,112.075982016342,0.838,108,-0.0437641378629047,0.137393027032733,-0.295479796579457,0.232178266582196,999.999999999999,0.752,0.0257651276138392,0.0790168637645897,-0.130011968605686,0.181267801322974,999.999999999999,0.732
"25",10,"Blanco-Sánchez et al. (2022)","1","total seed mass","fl_peak",0.686148856877685,14.2774776991375,0.91,108,0.0471043140744702,0.34880254294313,-0.694593054693541,0.675273032640689,999.999999999999,0.874,-0.0993925744820654,0.188086829417687,-0.479763223935151,0.266133772267494,1000,0.584
"26",10,"Blanco-Sánchez et al. (2022)","1","total seed mass","fr_onset",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27",10,"Blanco-Sánchez et al. (2022)","1","total seed mass","fr_duration",-0.40306348986465,43.2156933369347,0.711,108,-0.186407973295244,0.212910397352726,-0.604627962151426,0.209415891377375,1000,0.378,0.0155888335320918,0.104430855028136,-0.194755055596033,0.201757701754104,1000,0.886
"28",10,"Blanco-Sánchez et al. (2022)","1","total seed mass","fr_peak",0.405699692962279,5.85948618539973,0.905,108,0.152303997547982,0.120214030952274,-0.102559171033135,0.381698034645524,1000,0.196,-0.0987631652289022,0.145547817740622,-0.380166452419871,0.182246050142567,999.999999999999,0.474
"29",10,"Blanco-Sánchez et al. (2022)","1","total seed mass","disp_onset",1.19484775545703,106.996931311827,0.663,108,0.223200597165137,0.113652703590695,-0.00613500543113332,0.429058003330283,1000,0.054,-0.0501558296818394,0.0634643095206396,-0.165797874265991,0.0775304234557552,1000,0.42
