"","id","study","group","fitness","trait","optimum","sd","optimumtest","samplesize","linear","linear.se","linear.95CI.l","linear.95CI.u","linear.effsamp","linear.pMCMC","quadratic","quadratic.se","quadratic.95CI.l","quadratic.95CI.u","quadratic.effsamp","quadratic.pMCMC"
"1",15,"Ensing, Sora and Eckert (2021)","2014; T1-H; set","total seed number","gdd.to.emerge",-0.0253589201776566,14.3223777001566,0.9,1546,-936.906477663799,97718.1917559752,-200255.087201773,184547.211497401,862.621679870834,0.976,-31.3774735280689,101233.466343299,-193964.195930931,188608.370328555,999.999999999999,0.966
"2",15,"Ensing, Sora and Eckert (2021)","2014; T1-H; set","total seed number","gdd.emerge.to.fl",-0.0345860913480926,15.01746590143,0.9,2340,-2053.29143823763,99369.3029692075,-180755.227102066,201600.971454294,999.999999999999,0.96,25.4882955237282,104802.382297113,-202758.116911105,203837.87279017,1000,0.998
"3",15,"Ensing, Sora and Eckert (2021)","2014; T1-H; set","total seed number","gdd.to.fl",0.0220401871532577,36.0602630590357,0.891,4300,-269.62915950572,102900.762881332,-179682.123177525,222783.644402835,1000,0.982,1874.61214640725,97785.2360730547,-199550.856030813,181486.176028842,1174.29623065736,0.994
"4",15,"Ensing, Sora and Eckert (2021)","2014; T1-H; set","total seed number","gdd.fl.to.mat",-0.0493315880457727,53.8652622375678,0.904,2361,633.365070219597,101135.916564556,-172435.283690038,217236.207071645,1000,0.994,1673.26888075658,101253.242003706,-186361.50978219,200950.182694035,1094.81776438814,0.996
"5",15,"Ensing, Sora and Eckert (2021)","2014; T1-H; set","total seed number","gdd.to.mat",0.00207598264432771,24.166209322405,0.893,2361,3254.29784688836,96819.5723693301,-188674.141085418,187038.544228307,1000,0.982,777.435964325233,102873.639406279,-176693.407281903,225478.531011996,989.098901202272,0.994
"6",15,"Ensing, Sora and Eckert (2021)","2014; T1-L; set","total seed number","gdd.to.fl",-0.0502859858252505,7.01831669367445,0.906,4300,-795.755655165969,100729.627440945,-202133.889456249,198948.092628398,999.999999999998,0.968,-542.583228548802,98880.341168862,-173651.2174521,205162.970583124,1000,0.974
"7",15,"Ensing, Sora and Eckert (2021)","2014; T1-L; set","total seed number","gdd.fl.to.mat",-0.0243845243453829,5.04535796744821,0.901,2361,8875.27335740226,99153.228768343,-189105.3841427,202093.336186045,1000,0.928,-461.089437740214,105034.574671897,-211009.493696256,198211.968195024,999.999999999999,0.986
"8",15,"Ensing, Sora and Eckert (2021)","2014; T1-L; set","total seed number","gdd.to.mat",0.00272885012122161,51.3750333665663,0.886,2361,-1913.6665933798,99930.3564320684,-207681.953588401,175745.563591678,937.642891050679,0.962,1131.91743366593,97370.3914021165,-193829.996376263,189980.236831469,1000,0.988
"9",15,"Ensing, Sora and Eckert (2021)","2014; T1-MH; set","total seed number","gdd.to.emerge",-0.00437821994727939,8.97274583539645,0.879,1546,-4263.61771550385,100063.611183475,-213715.736182142,169840.464305212,1115.98265058009,0.962,3078.13009235364,98760.3950989213,-183471.313229412,194845.928505788,999.999999999998,0.986
"10",15,"Ensing, Sora and Eckert (2021)","2014; T1-MH; set","total seed number","gdd.emerge.to.fl",0.026706747563503,6.62720350122155,0.887,2340,938.030164347253,103649.464542434,-214968.528943942,185249.967710856,1000,0.998,-6530.52676690446,96629.9193314602,-204180.970420071,179775.285707381,999.999999999999,0.946
"11",15,"Ensing, Sora and Eckert (2021)","2014; T1-MH; set","total seed number","gdd.to.fl",0.00389570608629375,11.4296599530633,0.893,4300,-2690.69994374997,100734.796541204,-199099.934093795,188184.87825913,1000,0.988,809.290879274629,99817.4481921509,-199859.114637384,187814.750040438,999.999999999998,0.966
"12",15,"Ensing, Sora and Eckert (2021)","2014; T1-MH; set","total seed number","gdd.fl.to.mat",0.00998276995978652,376.861671143244,0.898,2361,4425.74032853979,97474.8951048728,-198063.405573333,184392.964135803,999.999999999999,0.962,6651.28481642717,98110.043702616,-174801.744859081,195942.76955725,1147.92708356955,0.942
"13",15,"Ensing, Sora and Eckert (2021)","2014; T1-MH; set","total seed number","gdd.to.mat",-0.0327385492735247,6.46803960840374,0.895,2361,946.897002955229,101101.639833692,-196109.794815563,192088.616598475,999.999999999999,0.98,-6840.94555628422,97869.8353851286,-185148.166580124,181843.208073119,1391.69373514658,0.948
"14",15,"Ensing, Sora and Eckert (2021)","2014; T1-ML; set","total seed number","gdd.to.emerge",-0.0291302314203094,33.4525010057982,0.896,1546,-2324.4620753277,96199.9317239711,-190273.710668702,185712.169766218,1000,0.982,-1285.36187653814,98601.3194113558,-197485.735462663,186647.042331754,1083.56928246336,0.984
"15",15,"Ensing, Sora and Eckert (2021)","2014; T1-ML; set","total seed number","gdd.emerge.to.fl",-0.0243431141222472,129.662005175569,0.895,2340,438.1718019909,98965.2675006825,-194728.758154744,193798.915562321,999.999999999999,0.984,-7403.29260826501,99652.7574959385,-222972.400275751,167873.760255414,1000,0.924
"16",15,"Ensing, Sora and Eckert (2021)","2014; T1-ML; set","total seed number","gdd.to.fl",0.0214702167096292,12.4797484185226,0.894,4300,-2398.68179050283,98378.4479671959,-192925.943702996,191970.869513291,804.599462719146,0.976,-1694.36619744155,101514.757244315,-201106.073197732,190159.98794511,1000,0.984
"17",15,"Ensing, Sora and Eckert (2021)","2014; T1-ML; set","total seed number","gdd.fl.to.mat",-0.0172425278478876,9.01331945283992,0.881,2361,4661.02183310408,101554.257373699,-188809.183831831,210175.288009852,1000,0.984,3048.86374569808,101691.756993986,-194177.969777776,214020.088311708,822.866793299993,0.954
"18",15,"Ensing, Sora and Eckert (2021)","2014; T1-ML; set","total seed number","gdd.to.mat",0.00881120271096586,8.5722962395245,0.895,2361,1768.75339473413,99748.4268478067,-204480.307530013,179006.122696279,999.999999999999,0.984,-2267.68759578611,100410.526433288,-204869.530197123,172006.532872745,1000,0.998
"19",15,"Ensing, Sora and Eckert (2021)","2014; T2-H; set","total seed number","gdd.to.emerge",0.0518829239562425,36.1075423585606,0.901,1546,4234.54125141315,101458.227355474,-192850.846343754,190032.584056252,1000,0.946,1229.08085729034,102128.570038914,-207052.402567453,188550.737565009,903.501136723427,0.988
"20",15,"Ensing, Sora and Eckert (2021)","2014; T2-H; set","total seed number","gdd.emerge.to.fl",-0.00793505158371746,436.813804491984,0.904,2340,-2332.4603471731,101732.984464593,-191441.288151499,200809.551263437,887.19564146242,0.962,3729.51582526514,100920.84862637,-179702.399137656,214340.533174335,1000,0.99
"21",15,"Ensing, Sora and Eckert (2021)","2014; T2-H; set","total seed number","gdd.to.fl",0.0314570029752111,487.75405447246,0.887,4300,2994.78121875167,99695.299806513,-166464.722886741,203027.763780701,1000,0.998,9533.32838857393,96112.9199532763,-176366.812838532,188981.34440036,1000,0.896
