"","id","study","group","fitness","trait","optimum","sd","optimumtest","samplesize","linear","linear.se","linear.95CI.l","linear.95CI.u","linear.effsamp","linear.pMCMC","quadratic","quadratic.se","quadratic.95CI.l","quadratic.95CI.u","quadratic.effsamp","quadratic.pMCMC"
"1",17,"Traveset et al. (2019)","Cabrera","seed dispersal","weight",2.07439028337865,15.0665691002314,0.61,1296,-29315.3767462603,46665.8103490669,-156199.858769341,13188.5097227667,7.30617417843787,0.102,6179.71666937555,15860.9868677525,-9692.86146507859,46494.058944887,21.5551246950382,0.268
"2",17,"Traveset et al. (2019)","Cap_Barbaria","seed dispersal","weight",1.95427697278359,22.8027177233382,0.635,1296,-35731.8658258267,53128.9147119686,-164702.391310473,20579.5984741928,3.62995350509654,0.114,7330.98250851637,15415.4533180099,-13953.5204503374,49877.6896765011,11.2753681559842,0.254
"3",17,"Traveset et al. (2019)","Conillera_Cabrera","seed dispersal","weight",2.13507345094508,20.4369853002631,0.633,1296,-8484.82624329214,23885.0036082494,-67454.15716435,264.397463895068,3.81164969922288,0.056,1723.47795575629,5871.67513609583,-1984.72978712621,15055.4941584066,9.69595755196053,0.206
"4",17,"Traveset et al. (2019)","Conillera_Eivissa","seed dispersal","weight",2.19644320263505,26.2788381272007,0.635,1296,-7587.68398913924,21693.5548701782,-45616.5410131271,1362.86187973147,14.979291743169,0.044,1571.56895314328,5352.46989448124,-1281.5762536689,11883.7684030586,20.3173178506755,0.192
"5",17,"Traveset et al. (2019)","Dragonera","seed dispersal","weight",2.34752251770034,17.9032320634346,0.615,1296,-8043.35564693904,19519.6979712157,-61665.8413887427,2390.86963168705,3.91122166886415,0.056,1537.76702255418,4320.34743861698,-1061.99879877582,12532.4792356352,7.92442470960871,0.136
"6",17,"Traveset et al. (2019)","Espalmador","seed dispersal","weight",2.21738806513539,19.1057934213279,0.621,1296,-4684.21560322345,9126.05434954932,-28398.5263542413,1090.21257227688,2.69340217996271,0.07,909.412477509381,2019.27012038753,-899.198186779895,6234.53429785174,6.31645504018382,0.188
"7",17,"Traveset et al. (2019)","Espardell","seed dispersal","weight",2.17053690452469,457.629604179098,0.621,1296,-1835.52850899272,5161.12990214753,-13091.2090463627,152.402810443935,8.79001890659089,0.052,350.842953170892,1101.84051945127,-206.104172432853,3236.85898597528,10.7506561929609,0.19
"8",17,"Traveset et al. (2019)","Espartar","seed dispersal","weight",2.18317395786766,28.2489028884982,0.638,1296,-1464.13717302579,2812.14941380193,-8435.07431958117,168.694096990308,4.69418050773516,0.056,281.829542797876,600.371184695101,-230.217437896565,1707.20672470864,7.46111067590688,0.188
"9",17,"Traveset et al. (2019)","Illa_des_Bosc","seed dispersal","weight",2.13642536618788,28.1780387229102,0.636,1296,-791.461871268806,1581.21533216105,-4889.24279335787,64.5481792073988,3.46024727700354,0.056,156.273398107312,339.90557325221,-128.884898181408,987.485381633869,3.89538028080885,0.172
"10",17,"Traveset et al. (2019)","La_Mola","seed dispersal","weight",1.91703139595583,206.65969431315,0.646,1296,-24532.0824221393,49704.424624319,-154049.565236062,18646.8424556521,5.66786852274353,0.118,6471.63953636984,19644.8639429441,-19793.2011387299,52240.8768475095,10.8390199852639,0.258
"11",17,"Traveset et al. (2019)","Sa_Canal","seed dispersal","weight",2.2522809998385,99.47012979927,0.598,1296,-5649.55086358156,16387.882344794,-42801.4944290706,1310.75400084304,6.1724819394172,0.06,1142.42382652779,3654.47920574082,-341.668843987189,10373.9210170645,16.1148709968067,0.162
"12",17,"Traveset et al. (2019)","Tagomago","seed dispersal","weight",1.97208684067057,164.664731244586,0.646,1296,-17062.0820920254,35003.5632836431,-103745.24132539,1139.05884555668,4.52029339027102,0.086,3973.28314592012,9798.4500593691,-1739.77678515652,29075.6113280423,15.1722865166375,0.192
"13",17,"Traveset et al. (2019)","Na_Burguesa","seed dispersal","weight",2.11204877883098,248.975853461031,0.629,1296,-4051.95681894454,8437.078119105,-23424.3873677714,586.574314815058,6.29336725329647,0.028,767.971892498764,1901.86677278513,-375.51444799859,6244.49241133163,8.72441146351925,0.19
