"","id","study","group","fitness","trait","optimum","sd","optimumtest","samplesize","linear","linear.se","linear.95CI.l","linear.95CI.u","linear.effsamp","linear.pMCMC","quadratic","quadratic.se","quadratic.95CI.l","quadratic.95CI.u","quadratic.effsamp","quadratic.pMCMC"
"1",19,"Souto-Vilarós et al. (2018)","navas; control","fruit","height (cm)",0.029638268654919,21.206260614064,0.891,399,-21960.7577368514,94094.9208441293,-203439.153081975,160930.311124023,870.619693546021,0.82,-4403.19410828383,86493.9282291566,-165102.234636619,178791.998693906,999.999999999999,0.994
"2",19,"Souto-Vilarós et al. (2018)","navas; control","fruit","flower_size (mm)",-6.6584043858008e-05,44.8139297006011,0.894,399,-4151.04938758201,96213.6477934443,-195918.245458467,184393.116039794,977.193979747702,0.944,11155.8800121352,87279.0470433546,-149759.192506825,185295.242391637,660.196955938441,0.864
"3",19,"Souto-Vilarós et al. (2018)","navas; control","fruit","sepal_width (mm)",0.0624053715832709,6.43175427296911,0.889,399,43915.1311249644,93485.251246175,-140221.433362035,229343.112421344,429.457747099924,0.65,-24471.3308157884,87021.6377975085,-193737.061159178,159119.02288481,999.999999999999,0.766
"4",19,"Souto-Vilarós et al. (2018)","navas; control","fruit","petal_width (mm)",0.0786390644165177,12.4005675310008,0.92,399,23417.2694182439,97786.7892178568,-162593.578838769,224044.596377627,1025.04001938366,0.818,-57196.9583663032,89962.2411356096,-215873.074027382,137697.826137094,335.804851421525,0.506
"5",19,"Souto-Vilarós et al. (2018)","navas; control","fruit","flavonoid (absorbance 350 nm)",0.00964864893365613,6.45325538771995,0.893,399,-27702.1520906328,95563.5310605702,-204558.642621632,172480.090304579,435.757683023524,0.766,4075.65340011239,85889.0754543107,-167303.70068406,183136.545368545,999.999999999999,0.948
"6",19,"Souto-Vilarós et al. (2018)","navas; control","fruit","anthocyanin (absorbance 540 nm)",0.0106614727744891,59.4002310556354,0.88,399,-14817.4479900445,96477.7052777047,-193794.729112166,177541.710537322,1028.89774323237,0.876,-20737.1352219734,92911.6250911078,-198397.664292904,157844.762386661,874.163502280323,0.834
"7",19,"Souto-Vilarós et al. (2018)","navas; control; 1","ovules per fruit","height (cm)",1.44728262016492,22.222406624139,0.864,170,0.159380839097282,0.0558685454052232,0.046728167188121,0.271879923620872,1041.89884073993,0.002,-0.0541554685558831,0.0280116213700456,-0.106913534102205,0.00131943338783458,999.999999999999,0.056
"8",19,"Souto-Vilarós et al. (2018)","navas; control; 1","ovules per fruit","flower_size (mm)",0.186665844102468,835.582619873852,0.739,170,-0.0409339390834278,0.0489665186094882,-0.140819588872546,0.0467795857330202,906.649239498082,0.384,0.00890675120371575,0.0254609030470776,-0.0400290119323472,0.0567769624758512,1000,0.754
"9",19,"Souto-Vilarós et al. (2018)","navas; control; 1","ovules per fruit","sepal_width (mm)",-0.0305747168078024,14.3006229582947,0.84,170,-0.00859308971628189,0.0530312176085773,-0.128844719627523,0.0835160360002192,1000,0.854,0.00794104289544586,0.0364768084657624,-0.0596384876407683,0.0824376712844241,1000,0.792
"10",19,"Souto-Vilarós et al. (2018)","navas; control; 1","ovules per fruit","petal_width (mm)",0.0959244232941287,29.1187460765332,0.734,170,-0.0436121297055983,0.0610035348669347,-0.152989451104077,0.0858989182888763,1000,0.474,-0.00072507745063163,0.0270106418809536,-0.0554711167696951,0.0467582582114119,1000,1
